ID,PredictedProb
0,0.28728652
1,0.89496577
2,0.86397403
7,0.4884627
10,0.6955305
11,0.5580651
13,0.94403243
14,0.47436532
15,0.9085057
16,0.85255885
17,0.76699823
18,0.87323666
19,0.9498458
20,0.86444855
25,0.8734191
26,0.888018
29,0.8775251
38,0.9693645
41,0.9282495
44,0.5638013
45,0.35606843
47,0.69355017
48,0.7336952
49,0.86439866
50,0.8865891
53,0.54035515
56,0.5317246
59,0.8890954
60,0.7842284
64,0.79813164
65,0.98661625
66,0.8160108
68,0.87885106
69,0.6465971
70,0.92370874
71,0.8088508
72,0.6008829
76,0.8123757
80,0.7382392
82,0.8545574
83,0.9567545
85,0.8825788
86,0.89532155
87,0.70949167
89,0.8388858
97,0.84756386
99,0.689115
101,0.754981
102,0.38422444
103,0.6048057
104,0.47742122
106,0.9515839
107,0.6325765
109,0.9242985
111,0.39146838
113,0.8408275
114,0.51710695
118,0.8763717
119,0.6755152
120,0.93896836
123,0.7128283
128,0.32517526
129,0.8505085
131,0.959906
133,0.6944685
134,0.75697774
136,0.9329972
137,0.65662295
139,0.6962889
140,0.8964446
142,0.7128534
144,0.8251152
146,0.9123114
147,0.78443396
148,0.9131452
150,0.15816823
151,0.12188493
152,0.95778835
155,0.96646154
158,0.8931714
159,0.63673043
160,0.9812293
161,0.6897237
165,0.9230031
166,0.5164875
170,0.9439898
171,0.77245003
174,0.6239274
175,0.8248694
179,0.6895947
180,0.9114761
181,0.7960126
184,0.7001891
185,0.533888
187,0.82196033
188,0.8768751
190,0.77486193
191,0.81118643
192,0.57941985
193,0.8966165
196,0.80812734
197,0.6429682
198,0.6029102
205,0.045584917
211,0.8824056
213,0.7919828
214,0.83433086
217,0.5250386
218,0.83104014
221,0.758911
222,0.6011055
225,0.78592706
229,0.5875475
236,0.65401053
237,0.92563593
238,0.85793674
239,0.9554676
242,0.6667185
245,0.8890593
246,0.80824405
247,0.8903527
248,0.98914486
254,0.8921278
255,0.5799596
257,0.9324694
259,0.7655266
264,0.9126464
270,0.62197787
272,0.7849312
274,0.20923689
275,0.37699175
278,0.78240126
280,0.29663944
281,0.2866633
282,0.37833065
283,0.8260548
284,0.92106056
286,0.89979935
287,0.91247797
288,0.9060776
289,0.87340194
290,0.6206033
291,0.69139916
294,0.7037973
295,0.32308444
297,0.5827829
299,0.74472654
305,0.8616425
307,0.5926515
308,0.75162226
313,0.5781112
314,0.8166308
315,0.80549115
316,0.90265554
317,0.88163584
319,0.5629027
322,0.840394
323,0.84206444
324,0.80762076
326,0.90164775
327,0.6880691
329,0.97335035
330,0.043854725
331,0.48268375
336,0.4787731
337,0.49847046
338,0.86330074
340,0.9458283
345,0.4595338
347,0.8501646
348,0.8286914
350,0.98085046
352,0.8706453
356,0.9403701
357,0.9256876
358,0.94170284
359,0.7223008
361,0.816477
363,0.44994736
364,0.7848039
368,0.8459779
376,0.9738177
378,0.7399874
